variable,description,dtype,distinct_values_train,missing_train,availability,association_metric,association_value,orientation_free_auc,deterministic_mapping,weighted_class_purity,leakage_category,decision,reason
situacionvts,claim_status,object,5,0,pre_claim_or_policy,cramers_v,1.0,,True,1.0,post_outcome_status,excluded,Claim status records investigation/adjudication outcomes and deterministically reveals the target.
comarcaid,region_code o district_code,int64,77,0,pre_claim_or_policy,pearson,-0.04496396368834986,0.7321645415509096,False,,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
garantia,coverage_type,object,27,0,pre_claim_or_policy,cramers_v,0.08123466820607782,,False,0.9958115183246073,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
subramo,insurance_subbranch,object,8,0,pre_claim_or_policy,cramers_v,0.009591178660097656,,False,0.9958115183246073,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
formapago,payment_method,object,6,0,pre_claim_or_policy,cramers_v,0.02201294263204354,,False,0.9958115183246073,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
actasvariacion,previous_claims_count,int64,27,0,pre_claim_or_policy,pearson,-0.015074038685899904,0.5739582373630109,False,,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
garantiaasistencia,assistance_coverage,object,5,0,pre_claim_or_policy,cramers_v,0.006294551785885008,,False,0.9958115183246073,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
anyomatricula,vehicle_registration_year,float64,1457,0,pre_claim_or_policy,pearson,-0.0028448248008911747,0.5195177314250998,False,,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
scoreada,ada_score,int64,1374,0,pre_claim_or_policy,pearson,-0.00607424369673218,0.5120124923421305,False,,upstream_score,excluded,Output of an undocumented ADA scoring system; its inputs and generation time cannot be audited.
categoria,vehicle_category,object,3,0,pre_claim_or_policy,cramers_v,0.0031164763607549086,,False,0.9958115183246073,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
tipo,vehicle_type,object,15,0,pre_claim_or_policy,cramers_v,0.011866131804051284,,False,0.9958115183246073,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
valorvehiculomercado,vehicle_value,float64,41118,0,pre_claim_or_policy,pearson,-0.008503031642230003,0.5333950880702096,False,,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
valorvehiculofabrica,insured_vehicle_value,float64,46220,0,pre_claim_or_policy,pearson,-0.0016699515654558135,0.5331400407455188,False,,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
motor,engine_type,object,10,0,pre_claim_or_policy,cramers_v,0.004789815132568694,,False,0.9958115183246073,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
potencia,engine_power_hp,float64,24162,0,pre_claim_or_policy,pearson,-0.0068120170859215816,0.5222604656738395,False,,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
cilindrada,engine_displacement_cc,float64,24541,0,pre_claim_or_policy,pearson,-0.005603336756718657,0.5190059966938185,False,,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
pesovehiculo,vehicle_weight_kg,float64,26762,0,pre_claim_or_policy,pearson,-0.0068341015170630005,0.5329183749839974,False,,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
pesomaxautorizado,max_vehicle_weight_kg,float64,21452,0,pre_claim_or_policy,pearson,-0.00614083602674115,0.5213964276122682,False,,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
longitud,vehicle_length_mm,float64,47887,0,pre_claim_or_policy,pearson,-0.006268962460728375,0.5305431826026337,False,,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
puertas,number_of_doors,float64,5953,0,pre_claim_or_policy,pearson,-0.0031297696406922784,0.5143180371684624,False,,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
scoring,risk_scoring_group,object,6,0,pre_claim_or_policy,cramers_v,0.017361156082868985,,False,0.9958115183246073,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
canalnombre,sales_channel,object,5,0,pre_claim_or_policy,cramers_v,0.014397214825382,,False,0.9958115183246073,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
zona,geographic_area,object,19,0,pre_claim_or_policy,cramers_v,0.034113728337051896,,False,0.9958115183246073,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
tipocliente,client_document_type,object,3,0,pre_claim_or_policy,cramers_v,0.007560034232976962,,False,0.9958115183246073,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
tomadorcodigopostal,policyholder_postal_code,int64,2579,0,pre_claim_or_policy,pearson,7.939026611429718e-05,0.5580305540327961,False,,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
tomadormunicipioid,policyholder_municipality_id,float64,1822,0,pre_claim_or_policy,pearson,0.014746757463363508,0.5741028575721998,False,,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
tomadorprovinciaid,policyholder_province_id,float64,81,0,pre_claim_or_policy,pearson,0.014781441072723188,0.5688889083413058,False,,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
tomadorcomarcaid,policyholder_district_id,int64,76,0,pre_claim_or_policy,pearson,0.014438133917437528,0.5677854189302898,False,,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
tomadornacionalidadid,policyholder_nationality_id,float64,2394,0,pre_claim_or_policy,pearson,0.00031589308483779194,0.5015243199587025,False,,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
tomadorcategoriacarnet,policyholder_license_type,object,13,0,pre_claim_or_policy,cramers_v,0.004476633717281177,,False,0.9958115183246073,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
tomadornivel,policyholder_customer_tier,object,11,0,pre_claim_or_policy,cramers_v,0.04915809246000072,,False,0.9958115183246073,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
tomadorexperian,policyholder_experian_score_group,object,10,0,pre_claim_or_policy,cramers_v,0.018285484809206335,,False,0.9958115183246073,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
flota,fleet_flag,int64,2,0,pre_claim_or_policy,pearson,-0.007100132756464635,0.5077453840326538,False,,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
aceptoculpasinantecedentes,accepted_fault_flag,int64,2,0,first_notification,pearson,0.02725599860953282,0.53148383704759,False,,none_detected,approved,Interpreted from the variable name as a notification-time declaration combined with prior-history information.
contratalunas,Contracting in Glass Insurance,int64,2,0,pre_claim_or_policy,pearson,-0.003851839782437253,0.5083839308933438,False,,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
contrataasistencia,Contracting Assistance Insurance,int64,2,0,pre_claim_or_policy,pearson,-0.007376668308048444,0.5088096288004704,False,,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
contratadanyospropios,Own Damages Insurance,int64,2,0,pre_claim_or_policy,pearson,-0.009192028474310956,0.521906764808973,False,,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
dgc_001,Percentage of buildings with 1 story above ground level,float64,2572,0,pre_claim_external,pearson,0.0016332152005317255,0.5039999421290597,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
dgc_002,Percentage of buildings with 2 stories above ground level,float64,2599,0,pre_claim_external,pearson,-0.000516392381017627,0.5003183977676406,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
dgc_003,Percentage of buildings with 3 to 9 stories above ground level,float64,2569,0,pre_claim_external,pearson,-0.0014881045895153186,0.5073309752140951,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
dgc_004,Percentage of buildings with 10 or more stories above ground level,float64,1442,0,pre_claim_external,pearson,0.0017135112234886473,0.5088396991975513,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
dgc_005,Percentage of buildings with 0 stories below ground level,float64,2587,0,pre_claim_external,pearson,-0.002982707771066601,0.5185871247613584,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
dgc_006,Percentage of buildings with 1 floor below ground level,float64,2577,0,pre_claim_external,pearson,0.005490909146778655,0.528622332420164,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
dgc_007,Percentage of buildings with 2 or more stories below ground level,float64,2444,0,pre_claim_external,pearson,-0.002886342574187224,0.5087046094568655,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
dgc_008,Percentage of buildings in ruins or deficient buildings,float64,2531,0,pre_claim_external,pearson,-0.003331941756887623,0.5115045611662405,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
dgc_009,Number of swimming pools per 100 dwellings,float64,2521,0,pre_claim_external,pearson,-0.012298856134410037,0.5600429776835795,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
dgc_010,Average age in years of the buildings at the date of construction,float64,2588,0,pre_claim_external,pearson,-0.011213412900153086,0.5499027117763351,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
dgc_011,Average age in years of buildings at date of last renovation,float64,2574,0,pre_claim_external,pearson,-0.009840413864363908,0.5439891806873001,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
dgc_012,Percentage of dwellings over total number of properties,float64,2601,0,pre_claim_external,pearson,0.006031981145473661,0.5348392908183741,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
dgc_013,Average number of dwellings per building,float64,2580,0,pre_claim_external,pearson,0.005907636756225824,0.5290281809595123,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
dgc_014,Percentage of buildings primarily for residential use,float64,2580,0,pre_claim_external,pearson,-0.0009744487661676497,0.5053971399354593,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
dgc_015,Percentage of buildings primarily for agricultural use,float64,2415,0,pre_claim_external,pearson,-0.0027521207558476096,0.5104034340081012,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
dgc_016,Percentage of buildings used primarily for industrial purposes,float64,2588,0,pre_claim_external,pearson,0.0005620626483931009,0.5019068839550265,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
dgc_017,Percentage of buildings primarily for office use,float64,2555,0,pre_claim_external,pearson,0.00305894936824924,0.5125915190623351,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
dgc_018,Percentage of buildings primarily for commercial use,float64,2586,0,pre_claim_external,pearson,0.010869398575873542,0.5488187902809403,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
dgc_019,Percentage of buildings used primarily for public services,float64,2582,0,pre_claim_external,pearson,0.008197938112832454,0.5355280680747055,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
dgc_020,Average floor area of buildings in square meters,float64,2603,0,pre_claim_external,pearson,0.005866175394103372,0.5310440318829976,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
dgt_001,Accidents with victims per year,float64,2400,0,pre_claim_external,pearson,-0.013662142911025774,0.577177403853694,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
dgt_002,Accidents involving animals per year,float64,2153,0,pre_claim_external,pearson,-0.014397520543357743,0.5857504158865944,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ign_001,Distance to the sea in meters,float64,2532,0,pre_claim_external,pearson,0.0020245723364234317,0.5076665081294689,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_001,Income distribution P80/P20,float64,2532,0,pre_claim_external,pearson,-0.0031098985514853824,0.507605042139406,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_002,Average net income per person in euros,float64,2532,0,pre_claim_external,pearson,-0.005448409172246326,0.5302499106708543,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_003,Average gross income per person in euros,float64,2537,0,pre_claim_external,pearson,-0.004355662227065936,0.5294320970228198,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_004,Median net income in euros,float64,2519,0,pre_claim_external,pearson,-0.002008156497766474,0.5141172657342394,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_005,Percentage of income from wages,float64,2538,0,pre_claim_external,pearson,0.00905401748591146,0.5411867196161455,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_006,Percentage of income from pensions,float64,2568,0,pre_claim_external,pearson,-0.009049256385760256,0.5457839998764771,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_007,Percentage of income from unemployment benefits,float64,2581,0,pre_claim_external,pearson,0.0042761063627983495,0.5160798498613833,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_008,"Percentage of income from other benefits (disability, dependency...)",float64,2585,0,pre_claim_external,pearson,0.02438150250991742,0.6090479385361983,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_009,"Percentage of income from other income (property rentals, income from economic activities...)",float64,2537,0,pre_claim_external,pearson,-0.015296625439138735,0.5774087113272275,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_010,Gini index,float64,2537,0,pre_claim_external,pearson,-0.006817829245317734,0.5278813248165789,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_011,Average household size,float64,2532,0,pre_claim_external,pearson,0.022607801994858484,0.6014544529560926,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_012,Percentage of single-person households,float64,2531,0,pre_claim_external,pearson,-0.01755111585955324,0.5934806677625672,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_013,Average age of population (census),float64,2532,0,pre_claim_external,pearson,-0.019104653268743277,0.5923344486862872,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_014,Percentage of population aged 65 and over (census),float64,2531,0,pre_claim_external,pearson,-0.01638335002705995,0.5821344887825814,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_015,Percentage of population under 18 years of age (census),float64,2531,0,pre_claim_external,pearson,0.019666920820765002,0.5918287113782901,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_016,Percentage of tourist dwellings,float64,2524,0,pre_claim_external,pearson,-0.007624378676273877,0.5434782514076559,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_017,Percentage of foreign population (census),float64,2532,0,pre_claim_external,pearson,-0.010564003076067781,0.5431382529468284,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_018,Percentage of African population,float64,2525,0,pre_claim_external,pearson,0.008977165412996797,0.5218515533788302,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_019,Percentage of American population,float64,2530,0,pre_claim_external,pearson,-0.0015641060375568856,0.5108164641366124,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_020,Percentage of Asian population,float64,2412,0,pre_claim_external,pearson,-0.002397923996379498,0.5113613919857745,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_021,Percentage of non-Spanish European population,float64,2529,0,pre_claim_external,pearson,-0.013364915627646119,0.5848458383803237,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_022,Total Persons per Census Section,float64,2532,0,pre_claim_external,pearson,-0.008138741556974005,0.5388153070825399,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_023,Percentage of women,float64,2532,0,pre_claim_external,pearson,0.0037437123493262517,0.5148311651791039,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_024,Percentage of men,float64,2532,0,pre_claim_external,pearson,-0.00374371234932628,0.5148311651791039,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_025,Average age (census),float64,2532,0,pre_claim_external,pearson,-0.019941183057150542,0.596007478360098,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_026,Percentage of persons under 16 years of age,float64,2532,0,pre_claim_external,pearson,0.02050531404799124,0.5948905254450378,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_027,Percentage of people between 16 (inclusive) and 64 (inclusive) years of age,float64,2532,0,pre_claim_external,pearson,0.011144304671721056,0.5576054871134425,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_028,Percentage of people over 64 years of age (census),float64,2532,0,pre_claim_external,pearson,-0.017190876656478622,0.5862368904387601,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_029,Percentage of foreigners (census),float64,2532,0,pre_claim_external,pearson,-0.01040670988672929,0.542799776029735,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_030,Percentage of people born abroad,float64,2532,0,pre_claim_external,pearson,-0.010097038572290572,0.5340403259544236,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_031,Percentage of persons in higher education (census =08 09 10 11 12 ) over population aged 16 and over (census),float64,2532,0,pre_claim_external,pearson,0.006947539796905645,0.5264239837844653,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
