rank,feature,mean_gain,std_gain,mean_split,folds,gain_share
1,garantia,12548.767127037048,3995.6963784313793,16.6,5,0.22726434811369445
2,tomadorcodigopostal,7513.549009990692,8328.70197607276,241.2,5,0.13607407010500558
3,antiguedad_poliza,5289.748368644714,2270.049326772412,88.2,5,0.0957999461234221
4,tomadornivel,2801.828811264038,633.3482247892538,19.8,5,0.050742498595432665
5,comarcaid,2214.193501853943,1443.9254227267156,25.0,5,0.04010013395756029
6,edad_conductor1,1940.187944984436,1062.8762156965026,46.0,5,0.03513775848026656
7,garantia_agrupada,1413.162654876709,1939.305417741851,12.0,5,0.025593071119091208
8,dias_notificacion,1128.0534474372864,788.7778803915917,31.6,5,0.02042960306569754
9,cilindrada,990.7945390701294,681.7797448254275,22.4,5,0.017943776687929333
10,tomadormunicipioid,966.0066588401794,876.2871023460865,37.0,5,0.01749485597846438
11,longitud,936.2095865249634,569.726175676572,22.8,5,0.016955216335234096
12,pesovehiculo,911.2129571914672,852.2950471435082,19.8,5,0.01650251507677525
13,valorvehiculomercado,743.7184418678283,567.6242372260956,21.0,5,0.013469106977613735
14,potencia,704.7584613800049,524.7082739166169,21.8,5,0.012763522558168214
15,anyomatricula,673.6661876678467,622.2422017674164,22.8,5,0.0122004261802506
16,valorvehiculofabrica,567.5839687347412,402.88300938981223,14.0,5,0.010279224990665784
17,aceptoculpasinantecedentes,548.2613359451294,350.0775491885769,4.8,5,0.00992928260187844
18,actasvariacion,486.6055172920227,300.9677319692086,14.6,5,0.008812665384285453
19,sea_005,480.7019847869873,205.06868443199946,4.8,5,0.008705749505399296
20,rep_008,417.04628505706785,400.290619077216,3.2,5,0.007552913457332715
21,puertas,392.4957695960999,243.3011353026339,12.8,5,0.007108291540644915
22,dgc_005,360.3215482711792,372.7478432320329,2.2,5,0.0065256005590169615
23,pesomaxautorizado,355.94462261199953,235.68464820429807,8.0,5,0.006446332281376173
24,sea_009,353.30584087371824,151.68970276824322,4.0,5,0.0063985426455104525
25,dgt_002,295.55828495025634,335.79411540945557,4.0,5,0.005352705989268076
26,dgc_018,277.4620653152466,252.37180427617128,2.8,5,0.0050249745462475235
27,sexo,252.1977195739746,137.02423627757372,6.0,5,0.0045674248118964585
28,dgt_001,240.11626014709472,225.22112550532896,2.8,5,0.004348623636201982
29,dgc_012,239.57851963043214,211.1097694913008,3.0,5,0.0043388848908147695
30,ine_037,227.90451946258545,201.95711111703173,3.2,5,0.004127463002818408
31,sea_008,204.1751498222351,62.85612740283537,3.4,5,0.0036977124410405965
32,rep_005,194.93475952148438,186.1132895687853,3.0,5,0.003530364425354528
