rank,trial,mean_fpr,std_fpr,worst_fold_fpr,mean_pr_auc,mean_roc_auc,mean_precision,median_best_iteration,best_iterations,mean_training_rows,rus_ratio,learning_rate,tree_shape,min_child_samples,feature_fraction,reg_alpha,reg_lambda,min_split_gain,cat_smooth,cat_l2,relative_fpr_reduction_vs_baseline,relative_fpr_reduction_vs_screen_rus15
1,43,0.190593244792907,0.019701583085737977,0.21750978042106692,0.049455510498783675,0.8942162035772926,0.017511717476985544,265,"[109, 265, 567, 448, 261]",8928.0,5,0.026485341497747728,d3_l7,50,0.9,0.01,0.01,0.1,50.0,1.0,0.16751779685678284,0.10805055223770939
2,53,0.1910839556854069,0.018448454064550254,0.21670699441441849,0.048999258935721324,0.8940655437863885,0.017448545564988323,252,"[117, 126, 408, 580, 252]",8928.0,5,0.028259286618632903,d3_l7,50,0.9,0.01,0.01,0.1,50.0,1.0,0.1653744465751999,0.10575409461639236
3,21,0.19143670465783744,0.0177514981412036,0.21109402559811857,0.04608720282917794,0.8936706877086278,0.017417142860865712,74,"[20, 34, 148, 74, 90]",8928.0,5,0.098666909424974,d5_l15,50,0.9,0.01,0.01,0.1,50.0,1.0,0.16383369290344957,0.10410327928188243
4,33,0.1914457596453947,0.022860178167063358,0.22187422265439496,0.04730868537994175,0.8940711305454645,0.017480967645617133,234,"[143, 218, 353, 489, 234]",8928.0,5,0.030205854773420047,d3_l7,50,0.9,1.0,0.01,0.1,50.0,1.0,0.1637941420998558,0.10406090321991877
5,22,0.19156107599128985,0.015769825012396623,0.20709617602496552,0.04752842191891312,0.89340013608999,0.017377301170058944,69,"[22, 58, 97, 79, 69]",8928.0,5,0.09751029981938089,d5_l15,50,0.9,0.01,0.01,0.1,50.0,1.0,0.16329045790163813,0.10352123901959046
6,42,0.1915792023559383,0.018796093349308887,0.21866307862780127,0.04932397408071766,0.894146594854841,0.017407810886686637,231,"[109, 231, 556, 523, 204]",8928.0,5,0.028123059290133662,d3_l7,50,0.9,0.01,0.01,0.1,50.0,1.0,0.16321128470746787,0.10343641019496082
7,23,0.1916221125005458,0.01805366688683877,0.212823933788612,0.047588535280534514,0.8937338001809414,0.017396141158438756,109,"[41, 58, 109, 165, 109]",8928.0,5,0.05919042416937499,d5_l15,50,0.9,0.01,0.01,0.1,50.0,1.0,0.16302385974516734,0.10323559678298683
8,41,0.1919636189577148,0.017354596899356898,0.21684267655638723,0.04872405454025167,0.8941674526580504,0.017366349582107442,227,"[97, 125, 489, 415, 227]",8928.0,5,0.030288882305889192,d3_l7,50,0.9,0.01,0.01,0.1,50.0,1.0,0.1615322116641423,0.1016373948309181
9,26,0.19197266364131704,0.016970954748701982,0.21424210216865291,0.049267565292572216,0.894253427870123,0.017350917840847933,187,"[86, 105, 467, 304, 187]",8928.0,5,0.036598601309708864,d3_l7,50,0.9,0.01,0.01,0.1,50.0,1.0,0.16149270586665138,0.10159506699000763
10,15,0.19224406597087138,0.015408984687826064,0.2179620542276294,0.048978275860123106,0.8935938556680167,0.01730489265672614,80,"[26, 80, 53, 105, 83]",31248.0,20,0.09537303250101815,d5_l15,200,0.6,0.01,0.01,0.1,50.0,1.0,0.16030726191510372,0.10032494244687169
11,56,0.19311687712456765,0.020123706029389246,0.21588801953778664,0.0488559182812069,0.8932699315204088,0.017289551541433554,234,"[117, 234, 383, 510, 200]",8928.0,5,0.026880369480953584,d3_l7,50,1.0,0.01,0.0,0.05,50.0,20.0,0.15649495601230767,0.09624030960804227
12,38,0.1939060810332522,0.01990026761234617,0.21619329745375604,0.0476417878973015,0.8938622627825769,0.01722026468305626,73,"[27, 48, 156, 73, 92]",16368.0,10,0.0846917375254889,d3_l7,100,0.7,1.0,0.0,0.0,50.0,1.0,0.15304783379480824,0.09254694685907454
