rank,trial,mean_fpr,std_fpr,worst_fold_fpr,mean_pr_auc,mean_roc_auc,mean_precision,median_best_iteration,best_iterations,mean_training_rows,rus_ratio,learning_rate,tree_shape,min_child_samples,feature_fraction,reg_alpha,reg_lambda,min_split_gain,cat_smooth,cat_l2,relative_fpr_reduction_vs_baseline,relative_fpr_reduction_vs_screen_rus15,relative_fpr_reduction_vs_broad_best
1,34,0.18657478895360402,0.01882051178242743,0.20885532088100944,0.04930938027120596,0.8967200197762896,0.017876059311173403,109,"[53, 135, 109, 73, 116]",11904.0,7,0.09885115038768211,d3_l7,50,0.8,0.01,0.01,0.1,100.0,5.0,0.18506979862878464,0.1268563576093426,0.02108393633609275
2,8,0.18884743732003445,0.020873546637708504,0.21535660983221022,0.05137020231066376,0.8947539904569795,0.017691298193754673,54,"[46, 38, 66, 82, 54]",16368.0,10,0.08519129283094373,d3_l7,100,0.8,0.1,0.1,0.2,100.0,5.0,0.1751432174369299,0.11622068446364393,0.009159860176416564
3,38,0.18906000242950172,0.02075708885461064,0.21526615711636743,0.04958137476949611,0.8958363864215055,0.0176689363447435,85,"[65, 79, 85, 212, 86]",11904.0,7,0.07536717752081999,d3_l7,50,0.8,0.01,0.0,0.1,100.0,5.0,0.17421476548243925,0.11522590979464205,0.008044578731377768
4,32,0.18908034283590883,0.0241188749527855,0.21736918275971237,0.0503876330745829,0.8958548384106949,0.017722017373843192,59,"[42, 232, 59, 41, 107]",11904.0,7,0.09871378638723818,d3_l7,50,0.8,0.01,0.01,0.1,100.0,5.0,0.17412592169179486,0.11513071956750784,0.007937857181885227
5,31,0.18947383066120377,0.019832223263357207,0.21285785355705306,0.05033520649292507,0.8962979856807006,0.017616029552290267,218,"[177, 207, 218, 256, 253]",11904.0,7,0.028734905150955344,d3_l7,50,0.8,0.01,0.01,0.1,100.0,5.0,0.1724072269286751,0.11328925215949785,0.005873314832955213
6,33,0.18969094021653804,0.020411952896371276,0.2129369996834155,0.04977712701035153,0.8951980828446885,0.017608397999249258,59,"[48, 77, 59, 64, 45]",11904.0,7,0.09577682749355847,d3_l7,50,0.8,0.01,0.01,0.1,100.0,5.0,0.17145892552825295,0.11227321012613652,0.004734189699899335
7,39,0.18980624538907143,0.019643478596027556,0.21388675319976483,0.05004664576775351,0.8962991142222784,0.017582834511488083,84,"[84, 80, 74, 130, 146]",11904.0,7,0.0778649875182803,d3_l7,50,0.8,0.1,0.0,0.1,100.0,5.0,0.17095529013357408,0.11173359821556204,0.0041292093258117136
8,35,0.19034217949484752,0.022891021708708662,0.21989055221383022,0.04996007972292047,0.8956363197948081,0.017582295046725746,69,"[81, 59, 69, 86, 69]",11904.0,7,0.07503899190143866,d3_l7,50,0.8,0.01,0.01,0.1,100.0,5.0,0.16861441175878775,0.10922550234782351,0.0013172832979064324
9,26,0.19043271451496566,0.018399835572262806,0.2203025711765903,0.050574170693817824,0.8954354900880592,0.01750281315679844,322,"[154, 446, 382, 316, 322]",5952.0,3,0.026291756592289002,d3_l7,50,0.8,0.01,0.01,0.1,100.0,5.0,0.16821896860920785,0.10880181124961455,0.0008422663568993953
10,36,0.1905864027990587,0.022355110967441486,0.21771968703360317,0.04920275013693386,0.8955203977893005,0.017551332091442634,69,"[53, 84, 51, 164, 69]",11904.0,7,0.098869636876622,d3_l7,50,0.8,0.1,0.0,0.1,100.0,5.0,0.1675476816416236,0.10808257180189294,3.589840687035334e-05
