candidate_id,candidate_label,source,seed_offset,mean_fpr,std_fpr_across_folds,worst_fold_fpr,mean_recall,mean_precision,mean_pr_auc,mean_roc_auc,median_best_iteration,best_iterations,all_folds_meet_recall
A,local_trial_34_rus_1_to_7,local_refinement,100000,0.19581917972629304,0.01838959234446741,0.21950612817149834,0.8010752688172043,0.017027905560570506,0.05178150391074778,0.8944061936101534,68,"[33, 74, 68, 87, 22]",True
A,local_trial_34_rus_1_to_7,local_refinement,200000,0.19254929694332495,0.01501103283058646,0.20918794238031704,0.8010752688172043,0.01727908099434211,0.05187771341710512,0.8953218721782843,79,"[30, 79, 213, 114, 64]",True
A,local_trial_34_rus_1_to_7,local_refinement,300000,0.1937997582336471,0.018477444338898943,0.22015060377187826,0.8010752688172043,0.017205486511275174,0.05239864738373364,0.8945665647407933,82,"[44, 82, 71, 174, 85]",True
A,local_trial_34_rus_1_to_7,local_refinement,400000,0.18662003505026298,0.017029080806704365,0.2040094072951765,0.8010752688172043,0.017850152893180628,0.05270972049477207,0.8961456712039745,103,"[51, 85, 151, 160, 103]",True
A,local_trial_34_rus_1_to_7,local_refinement,500000,0.19299703192933793,0.01589508844037408,0.21070960155578672,0.8010752688172043,0.01724896536878918,0.050628449812373265,0.895383841871646,78,"[31, 46, 90, 88, 78]",True
B,local_trial_8_rus_1_to_10,local_refinement,100000,0.19054567921013987,0.01926602632469897,0.21868074713943286,0.8010752688172043,0.017507803642417087,0.05084184879045698,0.8962659569159731,97,"[84, 65, 132, 97, 108]",True
B,local_trial_8_rus_1_to_10,local_refinement,200000,0.19449401414919398,0.022990561336090804,0.2205802541721315,0.8010752688172043,0.017208444453921962,0.05321673945007395,0.8945638540292761,58,"[38, 58, 39, 113, 173]",True
B,local_trial_8_rus_1_to_10,local_refinement,300000,0.19326838698309656,0.01935353672534672,0.21588159471744195,0.8010752688172043,0.01726448033962985,0.051533083742018634,0.8951071374793468,86,"[86, 109, 209, 55, 69]",True
B,local_trial_8_rus_1_to_10,local_refinement,400000,0.19251533519192696,0.025676884325004253,0.22188051196237166,0.8010752688172043,0.017430579970818896,0.05237869187964789,0.8958533278535128,57,"[39, 55, 57, 139, 118]",True
B,local_trial_8_rus_1_to_10,local_refinement,500000,0.19316436122047081,0.01823560695778248,0.21334886140069198,0.8010752688172043,0.017262369119272584,0.05213374400471328,0.8949449882523306,80,"[80, 64, 120, 233, 72]",True
C,broad_trial_43_rus_1_to_5,broad_tuning,100000,0.1912377113164998,0.02032318908938986,0.21739671196942628,0.8010752688172043,0.017460124109294206,0.04604603947628329,0.8948918917579551,297,"[89, 212, 314, 713, 297]",True
C,broad_trial_43_rus_1_to_5,broad_tuning,200000,0.19031953190082956,0.025846588468847416,0.2268101849758039,0.8010752688172043,0.017631791195358803,0.05185075331144819,0.8951341799536546,237,"[292, 180, 138, 368, 237]",True
C,broad_trial_43_rus_1_to_5,broad_tuning,300000,0.19094822496371247,0.024124137790288474,0.21825109673917958,0.8010752688172043,0.017547742355288977,0.049397611311083146,0.895142125572837,216,"[216, 135, 248, 288, 180]",True
C,broad_trial_43_rus_1_to_5,broad_tuning,400000,0.19010477420107197,0.018485132138587226,0.21095181022591078,0.8010752688172043,0.01754162972315334,0.048617559489886206,0.8953512002752657,255,"[149, 191, 377, 255, 443]",True
C,broad_trial_43_rus_1_to_5,broad_tuning,500000,0.19160854745716233,0.024509759732402363,0.21868074713943286,0.8010752688172043,0.017500194086493687,0.05024524362000686,0.8940205205244915,289,"[163, 339, 289, 638, 189]",True
