threshold,quantile,tn,fp,fn,tp,sensitivity,specificity,gmean,informedness,balance_gap
0,0,0,442214,0,1860,1,0,0,0,1
1.39414015012101e-06,0.504533028279071,223885,218329,165,1695,0.911290322580645,0.506282026349234,0.67924215940162,0.417572348929879,0.405008296231412
1.40761010326228e-06,0.50453528015601,223886,218328,165,1695,0.911290322580645,0.506284287697811,0.679243676344249,0.417574610278457,0.405006034882834
1.43534626293247e-06,0.504537532032949,223887,218327,165,1695,0.911290322580645,0.506286549046389,0.67924519328349,0.417576871627035,0.405003773534256
1.44245193750144e-06,0.504542035786828,223889,218325,165,1695,0.911290322580645,0.506291071743545,0.679248227151809,0.41758139432419,0.4049992508371
1.44603122270616e-06,0.504551043294586,223893,218321,165,1695,0.911290322580645,0.506300117137856,0.679254294847795,0.417590439718501,0.404990205442789
1.45687645687646e-06,0.504555547048465,223895,218319,165,1695,0.911290322580645,0.506304639835012,0.679257328675463,0.417594962415657,0.404985682745633
1.46419744409694e-06,0.504562302679283,223898,218316,165,1695,0.911290322580645,0.506311423880746,0.679261879391557,0.417601746461391,0.4049788986999
1.46788559886797e-06,0.504571310187041,223902,218312,165,1695,0.911290322580645,0.506320469275057,0.679267946965592,0.417610791855702,0.404969853305588
1.47159238068329e-06,0.504578065817859,223905,218309,165,1695,0.911290322580645,0.50632725332079,0.67927249761055,0.417617575901436,0.404963069259855
1.47531793101413e-06,0.504593828956435,223912,218302,165,1695,0.911290322580645,0.506343082760835,0.679283115663565,0.41763340534148,0.40494723981981
1.47906239276798e-06,0.504611843971951,223920,218294,165,1695,0.911290322580645,0.506361173549458,0.679295250378066,0.417651496130103,0.404929149031187
1.48282591030683e-06,0.504623103356648,223925,218289,165,1695,0.911290322580645,0.506372480292347,0.679302834464552,0.417662802872992,0.404917842288298
1.48660862946577e-06,0.504627607110527,223927,218287,165,1695,0.911290322580645,0.506377002989503,0.679305868075438,0.417667325570148,0.404913319591142
1.49041069757182e-06,0.504634362741345,223930,218284,165,1695,0.911290322580645,0.506383787035236,0.679310418466366,0.417674109615882,0.404906535545409
1.49423226346303e-06,0.504643370249103,223934,218280,165,1695,0.911290322580645,0.506392832429548,0.679316485606855,0.417683155010193,0.404897490151097
1.49807347750792e-06,0.50465237775686,223938,218276,165,1695,0.911290322580645,0.506401877823859,0.679322552693158,0.417692200404504,0.404888444756786
1.50193449162521e-06,0.504668140895436,223945,218269,165,1695,0.911290322580645,0.506417707263904,0.679333169963806,0.417708029844549,0.404872615316741
1.50581545930383e-06,0.504672644649315,223947,218267,165,1695,0.911290322580645,0.50642222996106,0.679336203439228,0.417712552541705,0.404868092619586
1.50971653562327e-06,0.504686155910952,223953,218261,165,1695,0.911290322580645,0.506435798052527,0.67934530378422,0.417726120633172,0.404854524528119
1.51363787727424e-06,0.504701919049528,223960,218254,165,1695,0.911290322580645,0.506451627492571,0.679355920699303,0.417741950073216,0.404838695088074
1.51757964257964e-06,0.504717682188104,223967,218247,165,1695,0.911290322580645,0.506467456932616,0.67936653744847,0.417757779513261,0.404822865648029
1.52154199151588e-06,0.504737949080559,223976,218238,165,1695,0.911290322580645,0.506487809069817,0.679380187310756,0.417778131650462,0.404802513510828
1.52552508573451e-06,0.504753712219135,223983,218231,165,1695,0.911290322580645,0.506503638509862,0.679390803680711,0.417793961090507,0.404786684070784
1.52952908858421e-06,0.50477172723465,223991,218223,165,1695,0.911290322580645,0.506521729298485,0.679402936471813,0.41781205187913,0.404768593282161
1.53355416513311e-06,0.504807757265681,224007,218207,165,1695,0.911290322580645,0.50655791087573,0.679427201404037,0.417848233456375,0.404732411704915
1.53760048219151e-06,0.50485054292753,224026,218188,165,1695,0.911290322580645,0.506600876498709,0.679456014885545,0.417891199079354,0.404689446081936
1.54166820833488e-06,0.50489107671244,224044,218170,165,1695,0.911290322580645,0.50664158077311,0.67948331074096,0.417931903353755,0.404648741807535
1.54575751392728e-06,0.504922602989592,224058,218156,165,1695,0.911290322580645,0.5066732396532,0.679504540092665,0.417963562233845,0.404617082927446
1.54986857114517e-06,0.504949625512865,224070,218144,165,1695,0.911290322580645,0.506700375836134,0.679522736151959,0.417990698416779,0.404589946744512
