stage,result_role,candidate,ntree,mtry,nodesize,nsplit,splitrule,threshold_rule,threshold,gmean,sensitivity,specificity,fpr,precision,f1,p4,roc_auc,pr_auc
baseline,training_oob,,500,12,1,10,gini,gmean_optimized,,0.7412723164732123,0.7704301075268817,0.7132180347071779,0.2867819652928221,,,,0.7869697648212068,0.0228144956063812
baseline,training_oob,,500,12,1,10,gini,q_star_prevalence,,0.7253163740667511,0.6758064516129032,0.7784534184806451,0.2215465815193549,,,,0.7869697648212068,0.0228144956063812
baseline,training_oob,,1000,12,1,10,gini,gmean_optimized,,0.7550298981052900,0.7500000000000000,0.7600935293771793,0.2399064706228207,,,,0.8174574705984564,0.0239601938568454
baseline,training_oob,,1000,12,1,10,gini,q_star_prevalence,,0.7435504739583855,0.6876344086021505,0.8040134414559467,0.1959865585440533,,,,0.8174574705984564,0.0239601938568454
baseline,training_oob,,2000,12,1,10,gini,gmean_optimized,,0.7642462375792900,0.8059139784946237,0.7247328216655284,0.2752671783344716,,,,0.8298504054695263,0.0244118161469188
baseline,training_oob,,2000,12,1,10,gini,q_star_prevalence,,0.7470019921311868,0.6951612903225807,0.8027086433265342,0.1972913566734658,,,,0.8298504054695263,0.0244118161469188
baseline,training_oob,,3000,12,1,10,gini,gmean_optimized,,0.7652596590322180,0.7758064516129032,0.7548562460709068,0.2451437539290932,,,,0.8392029924352784,0.0247789477319303
baseline,training_oob,,3000,12,1,10,gini,q_star_prevalence,,0.7479620665344845,0.6956989247311828,0.8041513837191948,0.1958486162808052,,,,0.8392029924352784,0.0247789477319303
cross_validation,mean_validation_5fold,3,500,24,20,10,gini,gmean_optimized,0.00363758011148028,0.787085640858064,0.844086021505376,0.734431704189566,0.26556829581043395,0.0132083635643815,0.0260086015489069,0.00817425243538146,0.868820803131269,0.0283342992553499
cross_validation,mean_validation_5fold,3,500,24,20,10,gini,q_star_prevalence,0.00418849110735655,0.786249717333699,0.81989247311828,0.754067030030368,0.245932969969632,0.0138294447814886,0.0272000712591589,0.00854571975017211,0.868820803131269,0.0283342992553499
final_test,single_untouched_test,3,3000,24,20,10,gini,q_star_prevalence,0.0041884911073379666,0.7807690073020431,0.8064516129032258,0.7559043010266383,0.2440956989733617,0.013705639413764117,0.02695320922877884,0.008345972881866134,0.8677832227719089,0.035318561860342865
