candidate,fold,ntree,mtry,nodesize,nsplit,splitrule,threshold_rule,selected_threshold,selected_quantile,training_oob_gmean,fit_seconds,threshold,tn,fp,fn,tp,sensitivity,specificity,gmean,precision,npv,f1,p4,informedness,markedness,roc_auc,pr_auc,predicted_positive,predicted_positive_rate,balance_gap
1,0,500,12,1,10,gini,gmean_optimized,0.00042571306939123,0.712012925780909,0.735369706031783,165.806,0.00042571306939123,54061,34382,58,314,0.844086021505376,0.611252445077621,0.718296348661889,0.00905003458611944,0.998928287662374,0.0179080643321547,0.00466435791442929,0.455338466582997,0.00797832224849304,0.804132489682013,0.0230808253600488,34696,0.390654731745764,0.232833576427756
1,0,500,12,1,10,gini,q_star_prevalence,0.00418849346533093,0.770502647364317,0.726221541708355,165.806,0.00418849346533093,70831,17612,128,244,0.655913978494624,0.80086609454677,0.724775321265579,0.0136648745519713,0.998196141433786,0.0267719991222295,0.00716520021164639,0.456780073041394,0.0118610159857571,0.804132489682013,0.0230808253600488,17856,0.201047120418848,0.144952116052147
1,1,500,12,1,10,gini,gmean_optimized,0.00112708453133985,0.730244694715686,0.739410152418937,164.545,0.00112708453133985,57000,31443,34,338,0.908602150537634,0.644482887283335,0.765231035289567,0.0106352852333155,0.999403864361609,0.0210244767206793,0.00622408216102945,0.553085037820969,0.0100391495949244,0.841986148298661,0.0217059385017499,31781,0.357833699262512,0.264119263254299
1,1,500,12,1,10,gini,q_star_prevalence,0.00418849346533093,0.767811652906753,0.728522375887843,164.545,0.00418849346533093,70761,17682,102,270,0.725806451612903,0.800074624334317,0.762036301047146,0.0150401069518717,0.998560602853393,0.0294695481335953,0.00872120856362143,0.52588107594722,0.0136007098052648,0.841986148298661,0.0217059385017499,17952,0.202128018915724,0.0742681727214137
1,2,500,12,1,10,gini,gmean_optimized,0.000258729275237064,0.699854753446791,0.742578539786822,164.495,0.000258729275237064,53251,35193,47,325,0.873655913978495,0.602087196418072,0.72527032193616,0.00915028999380596,0.999118165784832,0.0181108943995542,0.00480896400469626,0.475743110396567,0.00826845577863833,0.815003892870916,0.0236898985626129,35518,0.399905422446406,0.271568717560422
1,2,500,12,1,10,gini,q_star_prevalence,0.00418850525533556,0.769646285234956,0.727965168254189,164.495,0.00418850525533556,70919,17525,114,258,0.693548387096774,0.801852019356881,0.745736665797825,0.0145082382050273,0.998395112130981,0.0284219223354448,0.00805541866499729,0.495400406453656,0.0129033503360088,0.815003892870916,0.0236898985626129,17783,0.2002229328049,0.108303632260107
1,3,500,12,1,10,gini,gmean_optimized,0.000445408623110943,0.715126949276586,0.739601082460813,160.91,0.000445408623110943,54425,34017,51,321,0.862903225806452,0.615375048054092,0.728703721718694,0.00934824392800978,0.999063807915412,0.0184961106309421,0.00495935546604464,0.478278273860544,0.00841205184342209,0.813761199551714,0.0233938275167434,34338,0.386628234287387,0.24752817775236
1,3,500,12,1,10,gini,q_star_prevalence,0.00418848167539267,0.772310420537071,0.727433501886473,160.91,0.00418848167539267,70787,17655,122,250,0.672043010752688,0.80037764862848,0.733408620567989,0.0139625802848366,0.998279484973699,0.027356787218909,0.00749738564625445,0.472420659381168,0.0122420652585353,0.813761199551714,0.0233938275167434,17905,0.201601098925845,0.128334637875792
1,4,500,12,1,10,gini,gmean_optimized,0.000119617224880383,0.685039126273715,0.735928143466294,162.165,0.000119617224880383,51321,37121,33,339,0.911290322580645,0.580278600664843,0.727187921507577,0.0090496529631607,0.999357401565604,0.0179213364347642,0.0047824019184028,0.491568923245488,0.00840705452876422,0.832479438562859,0.0287330909246725,37460,0.421780349944829,0.331011721915803
1,4,500,12,1,10,gini,q_star_prevalence,0.00418848167539267,0.772839610426167,0.724804801890821,162.165,0.00418848167539267,71043,17399,121,251,0.674731182795699,0.80327220099048,0.736201604372886,0.0142209631728045,0.998299702096566,0.0278548440794584,0.00769455436356996,0.478003383786179,0.0125206652693703,0.832479438562859,0.0287330909246725,17650,0.198729929965996,0.128541018194781
