rank,candidate,ntree,mtry,nodesize,nsplit,splitrule,threshold_rule,completed_folds,mean_validation_gmean,std_validation_gmean,mean_sensitivity,mean_specificity,mean_balance_gap,mean_precision,mean_f1,mean_p4,mean_pr_auc,mean_roc_auc,mean_threshold,std_threshold,mean_fit_seconds
1,4,500,24,10,10,gini,q_star_prevalence,5,0.782097136522636,0.0135804293455315,0.798924731182796,0.765805692871493,0.0331190383113026,0.0141461709965741,0.0278000809814183,0.00865385481584218,0.0277247702140473,0.861747180316309,0.00418849110735655,9.86419385454112e-09,302.3222
2,4,500,24,10,10,gini,gmean_optimized,5,0.780192432550368,0.0107698368339739,0.851075268817204,0.715913609068827,0.135161659748377,0.0124615384533716,0.0245621122861423,0.00758069345204068,0.0277247702140473,0.861747180316309,0.00284000432553753,0.000476276302566525,302.3222
3,8,500,24,10,10,auc,gmean_optimized,5,0.77569776880953,0.00878010282521673,0.853763440860215,0.705495497302134,0.148267943558081,0.0120643843566055,0.0237913497115811,0.00725385237996896,0.0264703682925039,0.854498387129089,0.00296788219595362,0.00036985370992114,230.4992
4,8,500,24,10,10,auc,q_star_prevalence,5,0.775341116904158,0.0123355441845411,0.796774193548387,0.754677605038578,0.0420965885098092,0.013475989006366,0.0265036648812152,0.00809952034955846,0.0264703682925039,0.854498387129089,0.00418849110735655,9.86419385454112e-09,230.4992
5,3,500,12,10,10,gini,gmean_optimized,5,0.771213128222568,0.00969337212962798,0.820430107526882,0.725483564112944,0.0949465434139379,0.0124367115381678,0.0245007513248342,0.00739238599492966,0.0261568485117445,0.851435888253595,0.00336335016460674,0.000371029669018524,162.5524
6,3,500,12,10,10,gini,q_star_prevalence,5,0.770780054806803,0.0119983078285421,0.783333333333333,0.758587468271877,0.0247458650614568,0.0134637939519509,0.0264725673752973,0.00799682910387405,0.0261568485117445,0.851435888253595,0.00418849110735655,9.86419385454112e-09,162.5524
7,2,500,24,1,10,gini,q_star_prevalence,5,0.758002998747739,0.0134958038794351,0.709677419354839,0.809782138401909,0.10010471904707,0.0154540723881475,0.0302493902962325,0.00887876058203429,0.0255400758309598,0.824046767588255,0.00418849110735655,9.86419385454112e-09,302.7272
8,7,500,12,10,10,auc,gmean_optimized,5,0.757498084973491,0.0104917063972924,0.805376344086022,0.712862994016723,0.092513350069299,0.011670788059196,0.0230075591709254,0.0066934971564426,0.0248228087605029,0.836655586277454,0.00325934593588404,0.000260260975872831,131.7344
9,2,500,24,1,10,gini,gmean_optimized,5,0.755714538268847,0.00302699701874176,0.851075268817204,0.673678541598967,0.182498351440466,0.010964751136267,0.0216443495767489,0.00625315994384122,0.0255400758309598,0.824046767588255,0.000995456845894073,0.00105643927865067,302.7272
10,7,500,12,10,10,auc,q_star_prevalence,5,0.751308577275499,0.0154192822057088,0.749462365591398,0.753458741013582,0.0247475937209749,0.0126232857124436,0.0248283493023169,0.00712680903621048,0.0248228087605029,0.836655586277454,0.00418849110735655,9.86419385454112e-09,131.7344
11,6,500,24,1,10,auc,gmean_optimized,5,0.744593328934254,0.0107764072069675,0.878494623655914,0.631176298734904,0.24731832492101,0.00992092981595357,0.0196202621094436,0.00550082823617806,0.0239498740904548,0.81328654299594,0.000319205144793525,0.000244425160679861,231.7832
12,1,500,12,1,10,gini,q_star_prevalence,5,0.740431702610285,0.0142059934298952,0.684408602150538,0.801288517571386,0.116879915420848,0.0142793526333023,0.0279750201779274,0.0078267534900179,0.0241207161731655,0.821472633793233,0.00418849110735655,9.86419385454112e-09,163.5842
13,6,500,24,1,10,auc,q_star_prevalence,5,0.737323456899495,0.0210074038907286,0.676344086021505,0.804368475091487,0.128024389069982,0.0143304207494992,0.028066125370632,0.00780150849527064,0.0239498740904548,0.81328654299594,0.00418849110735655,9.86419385454112e-09,231.7832
14,1,500,12,1,10,gini,gmean_optimized,5,0.732937869822777,0.0184865078108234,0.88010752688172,0.610695235499593,0.269412291382128,0.00944670134088228,0.0186921765036189,0.00508783229292049,0.0241207161731655,0.821472633793233,0.000475310544791894,0.000387810697434523,163.5842
15,5,500,12,1,10,auc,q_star_prevalence,5,0.718921589120576,0.012491927001214,0.649462365591398,0.796053504996947,0.14659113940555,0.0132153706422072,0.025903584479003,0.00682476178852288,0.0225998404051154,0.801604983712598,0.00418849110735655,9.86419385454112e-09,132.1322
16,5,500,12,1,10,auc,gmean_optimized,5,0.716306103269704,0.0121307580074895,0.853225806451613,0.60149840432671,0.251727402124903,0.00894106267918048,0.0176963486908588,0.0045901380741828,0.0225998404051154,0.801604983712598,0.000542976086524518,0.000307302814686894,132.1322
