candidate,fold,ntree,mtry,nodesize,nsplit,splitrule,threshold_rule,selected_threshold,selected_quantile,training_oob_gmean,fit_seconds,threshold,tn,fp,fn,tp,sensitivity,specificity,gmean,precision,npv,f1,p4,informedness,markedness,roc_auc,pr_auc,predicted_positive,predicted_positive_rate,balance_gap
1,0,500,24,10,10,gini,gmean_optimized,0.00279770404115954,0.719908573744789,0.780811836963289,161.873,0.00279770404115954,63102,25341,62,310,0.833333333333333,0.713476476374614,0.771079587534373,0.0120852988187595,0.999018428218606,0.0238250778157784,0.00717842728287403,0.546809809707948,0.0111037270373651,0.85017129980685,0.0260769520305925,25651,0.288813826493273,0.119856856958719
1,0,500,24,10,10,gini,q_star_prevalence,0.00418849346533093,0.767687799605358,0.776440033883395,161.873,0.00418849346533093,67598,20845,86,286,0.768817204301075,0.764311477448752,0.766561030386605,0.0135346173867777,0.998729389515986,0.0266009394038041,0.00794304984115291,0.533128681749828,0.0122640069027637,0.85017129980685,0.0260769520305925,21131,0.237921522265383,0.00450572685232298
1,1,500,24,10,10,gini,gmean_optimized,0.00277370777370777,0.714155024925477,0.77830458622533,158.608,0.00277370777370777,63005,25438,41,331,0.889784946236559,0.7123797247945,0.796156237886942,0.0128448911482789,0.999349681185166,0.0253242033587085,0.00813662893610308,0.60216467103106,0.0121945723334453,0.87113419687475,0.0260799401438043,25769,0.290142430895682,0.177405221442059
1,1,500,24,10,10,gini,q_star_prevalence,0.00418849346533093,0.763496491292269,0.770635186406241,158.608,0.00418849346533093,67604,20839,62,310,0.833333333333333,0.764379317752677,0.798112000156555,0.0146579034469715,0.999083734815121,0.0288090702104921,0.00932827684976009,0.59771265108601,0.013741638262093,0.87113419687475,0.0260799401438043,21149,0.238124190733547,0.0689540155806565
1,2,500,24,10,10,gini,gmean_optimized,0.00259259259259259,0.710548390184035,0.777574436288207,157.904,0.00259259259259259,62666,25778,53,319,0.85752688172043,0.70853873637556,0.779481246203055,0.0122236272368471,0.999154961016598,0.0241036684423288,0.00742068998175125,0.56606561809599,0.011378588253445,0.862376770332287,0.0283148281099985,26097,0.293832192397766,0.14898814534487
1,2,500,24,10,10,gini,q_star_prevalence,0.00418850525533556,0.766837059263972,0.772657300073183,157.904,0.00418850525533556,67919,20525,79,293,0.787634408602151,0.767932250915834,0.777720942431545,0.0140743587280238,0.998838201123563,0.0276545540349221,0.00850298371929726,0.555566659517984,0.0129125598515862,0.862376770332287,0.0283148281099985,20818,0.234394703656999,0.0197021576863168
1,3,500,24,10,10,gini,gmean_optimized,0.00364114114114114,0.752336317063559,0.780466345750514,154.897,0.00364114114114114,66093,22349,77,295,0.793010752688172,0.747303317428371,0.76981787861821,0.0130277336159689,0.998836330663443,0.025634341327772,0.00771150574729354,0.540314070116543,0.0118640642794117,0.861532483593525,0.0281889829262451,22644,0.254959803634562,0.0457074352598009
1,3,500,24,10,10,gini,q_star_prevalence,0.00418848167539267,0.769064910206609,0.77914415507346,154.897,0.00418848167539267,67683,20759,81,291,0.782258064516129,0.76528120123923,0.77372307144868,0.0138242280285036,0.998804675048698,0.0271683316216973,0.00826594573017993,0.547539265755359,0.012628903077202,0.861532483593525,0.0281889829262451,21050,0.237012182763979,0.0169768632768987
1,4,500,24,10,10,gini,gmean_optimized,0.00239487607908661,0.702879581151833,0.77612989518976,157.066,0.00239487607908661,61721,26721,44,328,0.881720430107527,0.697869790371091,0.78442721250926,0.0121261414470036,0.999287622439893,0.0239232704861238,0.00745621531218149,0.579590220478618,0.0114137638868967,0.863521196565734,0.0299631475073696,27049,0.304557839980183,0.183850639736436
1,4,500,24,10,10,gini,q_star_prevalence,0.00418848167539267,0.76817260597872,0.766916829393451,157.066,0.00418848167539267,67846,20596,66,306,0.82258064516129,0.767124217000973,0.794368638189795,0.014639747392594,0.999028154081753,0.0287675096361756,0.0092290179388207,0.589704862162263,0.0136679014743468,0.863521196565734,0.0299631475073696,20902,0.235345778818655,0.0554564281603179
2,0,500,48,10,10,gini,gmean_optimized,0.00344677411325009,0.757987834227986,0.782412014640338,309.779,0.00344677411325009,66388,22055,78,294,0.790322580645161,0.750630349490632,0.770220822180247,0.0131549510045192,0.99882646766768,0.0258791426433696,0.00779488634697357,0.540952930135794,0.0119814186721989,0.857776115811909,0.0274822137271101,22349,0.251635421944491,0.0396922311545289
2,0,500,48,10,10,gini,q_star_prevalence,0.00418849346533093,0.777672064606386,0.777765081372132,309.779,0.00418849346533093,68449,19994,87,285,0.766129032258065,0.773933493888719,0.770021375485815,0.0140539474333054,0.998730594140306,0.0276015689312866,0.00832247005090697,0.540062526146784,0.0127845415736112,0.857776115811909,0.0274822137271101,20279,0.228328548105613,0.00780446163065474
2,1,500,48,10,10,gini,gmean_optimized,0.00333940497874924,0.749636180927155,0.782638815211105,313.982,0.00333940497874924,66117,22326,57,315,0.846774193548387,0.747566229096706,0.795625408573264,0.0139128130382934,0.999138634509022,0.0273758310520141,0.00879949987853086,0.594340422645094,0.0130514475473149,0.87444525658285,0.0273985803835506,22641,0.254923154872488,0.0992079644516808
2,1,500,48,10,10,gini,q_star_prevalence,0.00418849346533093,0.773759426221433,0.779843938306539,313.982,0.00418849346533093,68554,19889,70,302,0.811827956989247,0.775120699207399,0.793262033414949,0.0149571591303056,0.998979948705992,0.02937314594174,0.00940241082526282,0.586948656196646,0.0139371078362975,0.87444525658285,0.0273985803835506,20191,0.227337724483477,0.0367072577818481
2,2,500,48,10,10,gini,gmean_optimized,0.00241046831955923,0.720282161133599,0.78195136635159,307.482,0.00241046831955923,63425,25019,58,314,0.844086021505376,0.717120437791145,0.77801756874464,0.0123948999328939,0.999086369579257,0.0244310445438631,0.00749591869170646,0.561206459296521,0.0114812695121513,0.862438637436823,0.0283023384303328,25333,0.285230138713745,0.126965583714232
2,2,500,48,10,10,gini,q_star_prevalence,0.00418850525533556,0.776779129534029,0.775963923185169,307.482,0.00418850525533556,68762,19682,86,286,0.768817204301075,0.777463705847768,0.773128367591977,0.0143229166666667,0.99875087148501,0.0281219272369715,0.00855050674192055,0.546280910148843,0.0130737881516771,0.862438637436823,0.0283023384303328,19968,0.224824355971897,0.00864650154669278
2,3,500,48,10,10,gini,gmean_optimized,0.00285536933581626,0.738709677419355,0.783002461411927,300.901,0.00285536933581626,64655,23787,69,303,0.814516129032258,0.73104407408245,0.771652246399638,0.0125778331257783,0.998933934861875,0.0247731174883493,0.00748145115718875,0.545560203114708,0.0115117679876533,0.864833474486529,0.0286369628068762,24090,0.271241020559822,0.0834720549498086
2,3,500,48,10,10,gini,q_star_prevalence,0.00418848167539267,0.778066768000901,0.777285414999369,300.901,0.00418848167539267,68453,19989,87,285,0.766129032258065,0.773987472015558,0.77004822765535,0.0140574134359278,0.998730668222936,0.027608253414705,0.00832510376200318,0.540116504273623,0.0127880816588632,0.864833474486529,0.0286369628068762,20274,0.228274821537145,0.00785843975749367
2,4,500,48,10,10,gini,gmean_optimized,0.00179252479023646,0.69107414288127,0.779257162460376,311.292,0.00179252479023646,60365,28077,36,336,0.903225806451613,0.682537708328622,0.785166015590815,0.0118255728011826,0.999403983377759,0.0233454924439812,0.00728595105786663,0.585763514780235,0.0112295561789411,0.871704966477028,0.0310448703027037,28413,0.319915779043844,0.220688098122991
